titulo,url,descricao,data_publicacao,img,fonte,positivo,negativo,neutro
Cuidado com a saúde da mulher pode adicionar US$ 13 bilhões à economia brasileira por ano,https://braziljournal.com/on-business/cuidado-com-a-saude-da-mulher-pode-adicionar-us-13-bilhoes-a-economia-brasileira-por-ano/,,2024-03-25 11:07:29.406148,,Brazil Journal,0.12033529,0.13885443,0.74081033
IBGE lança site dedicado às suas coleções biológicas,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39545-ibge-lanca-site-dedicado-as-suas-colecoes-biologicas.html,"Site dedicado às coleções biológicas do IBGE permitirá que mais pessoas tenham acesso ao acervo do instituto O IBGE disponibiliza a partir desta segunda-feira (25) uma nova página na internet dedicada às suas coleções biológicas, localizadas na Reserva...",2024-03-25 10:00:00,,IBGE,0.12033529,0.13885443,0.74081033
"Even vende ações da Melnick, Marisa emite notas comerciais e muda data de balanço",https://www.infomoney.com.br/mercados/even-vende-acoes-da-melnick-marisa-emite-notas-comerciais-e-muda-data-de-balanco/,"Confira os principais destaques do noticiário corporativo desta quarta-feira (27)
The post <a href=""https://www.infomoney.com.br/mercados/even-vende-acoes-da-melnick-marisa-emite-notas-comerciais-e-muda-data-de-balanco/"">Even vende ações da Melnick, Marisa emite notas comerciais e muda data de balanço</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 10:39:28+00:00,https://www.infomoney.com.br/wp-content/uploads/2020/09/Melnick.jpeg?fit=300%2C167&amp;quality=70&amp;strip=all,InfoMoney,0.12033529,0.13885443,0.74081033
"Inteligência artificial no SXSW: mais um momento de tendências ou uma nova Era?
",https://valor.globo.com/empresas/esg/artigo/inteligencia-artificial-no-sxsw-mais-um-momento-de-tendencias-ou-uma-nova-era.ghtml,        Participante desta edição do evento de inovação no...  ,2024-03-27 09:30:14+00:00,https://s2-valor.glbimg.com/K-dExBMhpmZzXM0bj3GhwD8_biM=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/J/g/eNRTufQlWe5d3kT2trVw/whatsapp-image-2024-03-22-at-12.52.23.jpeg,Valor,0.12959103,0.102144964,0.76826406
Porto Asset celebra dez anos do fundo DI CP,https://braziljournal.com/brands/porto-asset-celebra-dez-anos-do-fundo-di-cp/,,2024-03-20 11:07:29.406567,,Brazil Journal,0.12959103,0.102144964,0.76826406
IBGE disponibiliza agenda de 25 a 31 de março,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39540-ibge-disponibiliza-agenda-de-25-a-31-de-marco.html,"Agenda IBGE traz a programação do instituto para a semana - Foto: Bel Corção/Brasil com S Está disponível a Agenda IBGE desta semana. A edição traz as programações do Instituto para os dias 25 a 31 de março e contempla as reuniões internas e externas, os...",2024-03-25 09:00:00,,IBGE,0.12959103,0.102144964,0.76826406
"Minidólar (WDOJ24) segue com potencial de baixa, com suporte nos 4.971,5 pontos",https://www.infomoney.com.br/mercados/minidolar-hoje-futuro-do-dolar-wdoj24-27032024/,"Confira o que esperar para o minidólar nesta quarta-feira (27)
The post <a href=""https://www.infomoney.com.br/mercados/minidolar-hoje-futuro-do-dolar-wdoj24-27032024/"">Minidólar (WDOJ24) segue com potencial de baixa, com suporte nos 4.971,5 pontos</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 10:37:41+00:00,https://www.infomoney.com.br/wp-content/uploads/2024/03/wdoj24-0503.png?fit=300%2C149&amp;quality=70&amp;strip=all,InfoMoney,0.12959103,0.102144964,0.76826406
"Agenda do dia: Caged deve mostrar criação 230 mil vagas em fevereiro, dizem economistas",https://valor.globo.com/brasil/noticia/2024/03/27/agenda-do-dia-caged-deve-mostrar-criacao-230-mil-vagas-em-fevereiro-dizem-economistas.ghtml,        O Cadastro Geral de Empregados e Desempregados (Ca...  ,2024-03-27 09:30:10+00:00,https://s2-valor.glbimg.com/sFtVwImGzZGtQIMNbTzyrPuJogg=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/L/L/v6jdzBSsyWyiDiYPeXvA/micros-e-pequenas-empresas-mpe-foram-as-que-mais-contribuiram-para-a-geracao-de-empregos-em-2023-tania-rego-agencia-brasil.webp,Valor,0.15878595,0.123534866,0.7176792
Como investir em ano de eleições?,https://braziljournal.com/brands/como-investir-em-ano-de-eleicoes/,,2024-03-20 11:07:29.407005,,Brazil Journal,0.15878595,0.123534866,0.7176792
O Censo na sua rua: IBGE publica resultados com maior nível de detalhe territorial,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39533-o-censo-na-sua-rua-ibge-publica-resultados-com-maior-nivel-de-detalhe-territorial.html,"Entre os destaques apresentados por Fernando Damasco está que mais da metade da população vive até uma distância de 150km do litoral - Foto: Foto: Daniel Pitthan/IBGE O IBGE realizou nesta quinta (21/3), em Florianópolis, a Oitava Divulgação do Censo...",2024-03-22 15:33:28,,IBGE,0.15878595,0.123534866,0.7176792
"GameStop enfrenta declínio “insustentável” nas vendas, corta empregos e ação desaba",https://www.infomoney.com.br/mercados/gamestop-enfrenta-declinio-insustentavel-nas-vendas-corta-empregos-e-acao-desaba/,"As recentes medidas de redução de custos da GameStop também incluíram a retirada de suas operações na Irlanda, Suíça e Áustria
The post <a href=""https://www.infomoney.com.br/mercados/gamestop-enfrenta-declinio-insustentavel-nas-vendas-corta-empregos-e-acao-desaba/"">GameStop enfrenta declínio &#8220;insustentável&#8221; nas vendas, corta empregos e ação desaba</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 10:30:29+00:00,https://www.infomoney.com.br/wp-content/uploads/2019/06/gamestop-bloomberg.jpg?fit=300%2C200&amp;quality=70&amp;strip=all,InfoMoney,0.15878595,0.123534866,0.7176792
Como declarar imóvel no Imposto de Renda 2024,https://valor.globo.com/financas/imposto-de-renda-2024/noticia/2024/03/27/como-declarar-imovel-no-imposto-de-renda-2024.ghtml,"        Há diferenças na hora de declarar o imóvel, sua ve...  ",2024-03-27 09:00:46+00:00,https://s2-valor.glbimg.com/HcucRTBOp0Lgx6wn2n9xxVj2ZTg=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/K/8/f2mHmaSc6GDxYfBKTz8Q/predio-corporativo-setor-imobiliario-construcao-daria-nepriakhina-pixabay.jpg,Valor,0.07408985,0.101613246,0.82429695
BS2 consolida estratégia focada em empresas e alcança lucro recorde,https://braziljournal.com/brands/bs2-consolida-estrategia-focada-em-empresas-e-alcanca-lucro-recorde/,,2024-03-25 11:07:29.407376,,Brazil Journal,0.07408985,0.101613246,0.82429695
